epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.46734,4.19592,6.30364,1.63456,0,0,0,0,3.95015,6.3009,1.38977,1.074e-05,1.074e-05,1.074e-05
2,10.5339,4.50046,6.34329,1.65781,0,0,0,0,3.73686,6.1534,1.31976,2.32124e-05,2.32124e-05,2.32124e-05
3,15.4182,4.0048,6.28387,1.44383,0,0,0,0,3.53257,6.04816,1.25357,3.56228e-05,3.56228e-05,3.56228e-05
4,20.2886,3.66373,5.98013,1.39549,0,0,0,0,3.39828,5.97545,1.19882,4.79711e-05,4.79711e-05,4.79711e-05
5,25.0971,3.65195,5.93518,1.32844,0,0,0,0,3.21988,5.89619,1.12732,6.02575e-05,6.02575e-05,6.02575e-05
6,29.9954,3.56213,5.89212,1.268,0,0,0,0,3.13308,5.86311,1.09046,7.24818e-05,7.24818e-05,7.24818e-05
7,35.0888,3.53328,5.80402,1.21996,0,0,0,0,3.11191,5.82406,1.06477,8.46441e-05,8.46441e-05,8.46441e-05
8,40.0051,3.57376,5.74913,1.19427,0,0,0,0,3.12778,5.80545,1.05107,9.67444e-05,9.67444e-05,9.67444e-05
9,44.8986,3.21829,5.75712,1.14531,0,0,0,0,3.0971,5.76346,1.03516,0.000108783,0.000108783,0.000108783
10,49.936,3.44947,5.6939,1.12085,0,0,0,0,3.02535,5.73512,1.02052,0.000120759,0.000120759,0.000120759
11,54.7724,3.11099,5.66438,1.09494,0,0,0,0,3.00216,5.70244,1.01093,0.000132673,0.000132673,0.000132673
12,59.7583,3.1082,5.63303,1.08588,0,0,0,0,2.92866,5.66717,0.99917,0.000144525,0.000144525,0.000144525
13,64.5727,3.18153,5.60316,1.08868,0,0,0,0,2.88132,5.65619,0.99376,0.000156315,0.000156315,0.000156315
14,69.5086,3.19167,5.57621,1.07425,0,0,0,0,2.79418,5.64706,0.98278,0.000168043,0.000168043,0.000168043
