epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6544,2.11266,5.81851,1.36541,0,0,0,0,1.37903,5.2643,1.00768,5.83696e-05,5.83696e-05,5.83696e-05
2,18.5457,1.43662,5.32867,1.00028,0.00057,0.00137,0.00032,0.00029,0.97164,4.9735,0.86395,0.000116868,0.000116868,0.000116868
3,25.8978,1.20121,4.96032,0.91942,0.00761,0.4147,0.01306,0.0094,0.91647,4.35935,0.85908,0.000174184,0.000174184,0.000174184
4,34.0737,1.11784,4.65503,0.90504,0.00932,0.67593,0.01736,0.01291,0.87361,4.00061,0.85888,0.000173684,0.000173684,0.000173684
5,41.4691,1.07061,4.39284,0.90335,0.01109,0.7802,0.02356,0.01802,0.83264,3.75116,0.85763,0.000171912,0.000171912,0.000171912
6,49.0345,1.05392,4.15825,0.90168,0.01165,0.84738,0.02707,0.02155,0.77406,3.59174,0.84884,0.000170139,0.000170139,0.000170139
7,56.3882,1.0029,3.93674,0.89296,0.06395,0.1189,0.0353,0.02772,0.73968,3.38652,0.84443,0.000168367,0.000168367,0.000168367
8,63.9168,0.95964,3.7701,0.89627,0.05584,0.09837,0.04219,0.03473,0.72678,3.22377,0.84321,0.000166595,0.000166595,0.000166595
9,71.4739,0.98098,3.607,0.88728,0.06162,0.14985,0.05533,0.04476,0.74403,3.13226,0.84577,0.000164823,0.000164823,0.000164823
10,79.1191,0.97925,3.48854,0.88889,0.0397,0.14317,0.06508,0.0532,0.70701,3.00814,0.84024,0.000163051,0.000163051,0.000163051
