epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.572,2.12493,5.8214,1.37103,0,0,0,0,1.41987,5.55533,0.99977,5.83696e-05,5.83696e-05,5.83696e-05
2,193.102,1.4277,5.30255,0.9972,0,0,0,0,0.96703,5.19568,0.85971,0.000116868,0.000116868,0.000116868
3,289.435,1.16335,4.92981,0.91557,0.00845,0.43137,0.01501,0.01185,0.89115,4.68451,0.86182,0.000174184,0.000174184,0.000174184
4,387.514,1.10115,4.64682,0.89921,0.01007,0.65381,0.01725,0.01345,0.85041,4.37177,0.8544,0.000173684,0.000173684,0.000173684
5,484.963,1.05825,4.37046,0.89582,0.01135,0.80427,0.02543,0.02029,0.79946,4.09828,0.85308,0.000171912,0.000171912,0.000171912
6,585.158,1.02991,4.09704,0.89866,0.04374,0.29222,0.03498,0.02885,0.76536,3.88813,0.84793,0.000170139,0.000170139,0.000170139
7,687.016,1.02309,3.91094,0.89316,0.10359,0.09473,0.04027,0.03313,0.73806,3.72495,0.8475,0.000168367,0.000168367,0.000168367
