epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.8967,2.66308,5.84119,1.36704,0,0,0,0,1.8945,5.69331,1.05878,5.83696e-05,5.83696e-05,5.83696e-05
2,123.732,1.93828,5.51064,1.05082,0,0,0,0,1.3742,5.46937,0.91082,0.000115699,0.000115699,0.000115699
3,181.894,1.56233,5.22072,0.94096,0.00427,0.14708,0.00705,0.00533,1.20798,5.05494,0.87612,0.000170666,0.000170666,0.000170666
4,242.413,1.43797,4.98531,0.90799,0.00772,0.43132,0.01371,0.01006,1.15627,4.72496,0.86681,0.000168367,0.000168367,0.000168367
5,303.666,1.36534,4.73396,0.89767,0.00929,0.56534,0.01647,0.01229,1.07515,4.49168,0.85796,0.000164823,0.000164823,0.000164823
6,364.425,1.32994,4.47428,0.89762,0.01193,0.62989,0.02212,0.01618,1.06866,4.26971,0.85264,0.000161279,0.000161279,0.000161279
7,428.402,1.3437,4.26827,0.88872,0.01131,0.77024,0.02442,0.01777,0.945,4.02666,0.84152,0.000157735,0.000157735,0.000157735
8,491.002,1.28007,4.06259,0.89594,0.0115,0.80697,0.02881,0.02144,0.95182,3.85808,0.84023,0.000154191,0.000154191,0.000154191
9,556.019,1.26951,3.88045,0.88747,0.04461,0.30799,0.03437,0.0262,0.89927,3.68199,0.83872,0.000150646,0.000150646,0.000150646
10,615.049,1.26121,3.75711,0.88581,0.06582,0.1349,0.03745,0.02861,0.87645,3.54942,0.8354,0.000147102,0.000147102,0.000147102
11,674.75,1.17952,3.60367,0.88129,0.06519,0.1118,0.03991,0.02986,0.90406,3.44655,0.83699,0.000143558,0.000143558,0.000143558
12,738.806,1.18141,3.53815,0.87571,0.0477,0.12086,0.04418,0.0345,0.84299,3.37301,0.83105,0.000140014,0.000140014,0.000140014
13,801.751,1.15741,3.43543,0.87184,0.05743,0.16577,0.04885,0.03772,0.84688,3.28042,0.83019,0.00013647,0.00013647,0.00013647
14,861.804,1.14072,3.3676,0.86985,0.05836,0.1336,0.05409,0.04046,0.85703,3.2446,0.83057,0.000132925,0.000132925,0.000132925
15,920.877,1.15127,3.2977,0.87107,0.10184,0.14541,0.05846,0.04394,0.86468,3.19875,0.83321,0.000129381,0.000129381,0.000129381
