epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.489,3.01649,5.9147,1.5594,0,0,0,0,2.50039,6.0035,1.38819,1.074e-05,1.074e-05,1.074e-05
2,24.9795,2.96649,5.8793,1.51109,0,0,0,0,2.27361,5.94391,1.28401,2.30396e-05,2.30396e-05,2.30396e-05
3,36.4762,2.67916,5.84297,1.38761,0,0,0,0,2.1535,5.91532,1.21772,3.50912e-05,3.50912e-05,3.50912e-05
4,48.0714,2.50535,5.83129,1.35832,0,0,0,0,2.06642,5.8674,1.16639,4.68946e-05,4.68946e-05,4.68946e-05
5,59.8596,2.36902,5.74226,1.25282,0,0,0,0,1.98883,5.7711,1.1094,5.84499e-05,5.84499e-05,5.84499e-05
6,71.578,2.42428,5.66491,1.2258,0,0,0,0,1.91128,5.69165,1.06164,6.97572e-05,6.97572e-05,6.97572e-05
7,83.3564,2.19245,5.58635,1.14974,0,0,0,0,1.82228,5.60886,1.01021,8.08164e-05,8.08164e-05,8.08164e-05
8,94.9507,2.19375,5.52766,1.1071,0,0,0,0,1.78545,5.58242,0.99219,9.16274e-05,9.16274e-05,9.16274e-05
9,106.614,2.0593,5.51735,1.0792,0,0,0,0,1.69716,5.55522,0.96879,0.00010219,0.00010219,0.00010219
10,118.14,2.02084,5.46781,1.04648,0,0,0,0,1.5964,5.53319,0.95141,0.000112505,0.000112505,0.000112505
11,129.686,1.87648,5.42422,1.03427,0,0,0,0,1.51244,5.51369,0.93446,0.000122572,0.000122572,0.000122572
12,141.317,1.67818,5.33881,0.99128,0,0,0,0,1.41768,5.47283,0.92114,0.000132391,0.000132391,0.000132391
13,152.921,1.7171,5.29179,0.97988,0,0,0,0,1.40003,5.45224,0.91632,0.000141961,0.000141961,0.000141961
14,164.625,1.66543,5.28522,0.97775,0.00678,0.00513,0.00406,0.00322,1.34174,5.41233,0.9028,0.000151284,0.000151284,0.000151284
15,176.232,1.61225,5.22876,0.96394,0.00144,0.01026,0.0027,0.0019,1.32962,5.36595,0.894,0.000154191,0.000154191,0.000154191
16,187.758,1.66683,5.21896,0.98466,0.00222,0.02221,0.00302,0.00242,1.30067,5.30292,0.8874,0.000152418,0.000152418,0.000152418
17,199.44,1.49705,5.15035,0.93603,0.00501,0.03278,0.00432,0.00347,1.2738,5.26679,0.88441,0.000150646,0.000150646,0.000150646
18,211.206,1.59968,5.12905,0.94044,0.00487,0.05023,0.00504,0.0036,1.26572,5.21023,0.88604,0.000148874,0.000148874,0.000148874
19,222.927,1.51142,5.07264,0.93275,0.00489,0.0874,0.00588,0.00397,1.24959,5.15597,0.88272,0.000147102,0.000147102,0.000147102
20,234.642,1.46436,5.05205,0.93737,0.00984,0.13834,0.00964,0.00664,1.23892,5.09013,0.88085,0.00014533,0.00014533,0.00014533
21,246.29,1.46158,4.93007,0.92462,0.00795,0.15174,0.00898,0.00633,1.22639,5.05664,0.87967,0.000143558,0.000143558,0.000143558
22,257.969,1.42659,4.89505,0.92159,0.00756,0.19318,0.00983,0.00707,1.18348,4.99746,0.87313,0.000141786,0.000141786,0.000141786
23,270.145,1.43843,4.90424,0.92568,0.00674,0.2206,0.00996,0.00733,1.16941,4.94605,0.86879,0.000140014,0.000140014,0.000140014
24,282.443,1.4407,4.90418,0.91469,0.00685,0.24821,0.01235,0.00929,1.17767,4.90278,0.8689,0.000138242,0.000138242,0.000138242
25,295.051,1.51733,4.83804,0.90943,0.0091,0.26185,0.01383,0.01015,1.18156,4.88617,0.86939,0.00013647,0.00013647,0.00013647
26,307.231,1.38592,4.75683,0.90716,0.01194,0.30694,0.01495,0.01121,1.18269,4.86041,0.87003,0.000134697,0.000134697,0.000134697
27,319.26,1.38637,4.71746,0.88814,0.01123,0.33262,0.01483,0.0114,1.14055,4.82652,0.86598,0.000132925,0.000132925,0.000132925
28,331.381,1.33617,4.71575,0.8965,0.011,0.34858,0.01574,0.01216,1.11351,4.79955,0.86276,0.000131153,0.000131153,0.000131153
29,343.361,1.49611,4.71604,0.91902,0.01082,0.34808,0.01574,0.01207,1.10662,4.78627,0.86085,0.000129381,0.000129381,0.000129381
30,355.42,1.39591,4.68168,0.89464,0.01149,0.36702,0.01679,0.01261,1.1068,4.76175,0.86019,0.000127609,0.000127609,0.000127609
31,367.224,1.38826,4.66388,0.89607,0.00884,0.37242,0.01524,0.01153,1.12145,4.74473,0.86044,0.000125837,0.000125837,0.000125837
32,379.188,1.39839,4.60846,0.88883,0.00936,0.38443,0.01506,0.01133,1.13113,4.73164,0.86188,0.000124065,0.000124065,0.000124065
