epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3627,2.48499,5.98515,1.61881,0,0,0,0,2.32823,6.13073,1.63698,1.074e-05,1.074e-05,1.074e-05
2,55.0616,2.47287,5.93742,1.55573,0,0,0,0,1.95253,6.04949,1.42239,2.31548e-05,2.31548e-05,2.31548e-05
3,83.5251,2.08639,5.8571,1.36218,0,0,0,0,1.80782,5.93301,1.28694,3.54456e-05,3.54456e-05,3.54456e-05
4,112.16,2.04074,5.84537,1.35459,0,0,0,0,1.68498,5.81148,1.18486,4.76123e-05,4.76123e-05,4.76123e-05
5,138.606,1.88622,5.69124,1.22304,0,0,0,0,1.47395,5.63185,1.05675,5.9655e-05,5.9655e-05,5.9655e-05
6,165.229,1.78896,5.5477,1.16218,0,0,0,0,1.35045,5.55173,0.9968,7.15736e-05,7.15736e-05,7.15736e-05
7,194.07,1.63181,5.50279,1.08791,0,0,0,0,1.22884,5.4778,0.94453,8.33682e-05,8.33682e-05,8.33682e-05
8,222.465,1.55643,5.38249,1.03852,0,0,0,0,1.18918,5.43895,0.92904,9.50387e-05,9.50387e-05,9.50387e-05
9,250.588,1.46107,5.3052,1.00841,0,0,0,0,1.10145,5.38573,0.90352,0.000106585,0.000106585,0.000106585
10,277.086,1.38367,5.26916,0.96966,0,0,0,0,1.05132,5.33917,0.88763,0.000118008,0.000118008,0.000118008
11,304.239,1.35105,5.19742,0.97426,0,0,0,0,1.02388,5.30418,0.87795,0.000129306,0.000129306,0.000129306
12,332.98,1.18682,5.08348,0.94347,0,0,0,0,0.99872,5.24815,0.86993,0.00014048,0.00014048,0.00014048
13,361.494,1.20393,5.0238,0.9179,0.00137,0.0045,0.00079,0.00025,0.98102,5.21597,0.86832,0.000151531,0.000151531,0.000151531
14,391.732,1.22468,4.9811,0.93988,0.006,0.0451,0.00564,0.00429,0.96225,5.12596,0.86356,0.000162457,0.000162457,0.000162457
15,419.654,1.18297,4.90781,0.93193,0.00474,0.10043,0.00805,0.00639,0.94639,5.03107,0.85994,0.000166595,0.000166595,0.000166595
16,451.275,1.20352,4.89608,0.9167,0.00597,0.19732,0.0076,0.00535,0.92953,4.96074,0.85988,0.000165709,0.000165709,0.000165709
17,479.357,1.09776,4.80773,0.90323,0.0062,0.22805,0.00789,0.00552,0.95813,4.93547,0.86727,0.000164823,0.000164823,0.000164823
18,506.998,1.24531,4.78857,0.92843,0.00629,0.30221,0.00938,0.0068,0.9197,4.87122,0.86604,0.000163937,0.000163937,0.000163937
19,532.132,1.12699,4.69447,0.92219,0.00641,0.34993,0.01374,0.01087,0.91168,4.79793,0.86606,0.000163051,0.000163051,0.000163051
20,557.412,1.16467,4.66328,0.91834,0.00855,0.41455,0.01593,0.01274,0.89991,4.71207,0.86619,0.000162165,0.000162165,0.000162165
21,581.959,1.18173,4.59997,0.91963,0.00904,0.44781,0.0169,0.01355,0.88773,4.68402,0.86437,0.000161279,0.000161279,0.000161279
22,607.599,1.12376,4.52715,0.90834,0.00841,0.47755,0.01788,0.014,0.88402,4.64809,0.8622,0.000160393,0.000160393,0.000160393
23,634.434,1.1144,4.5327,0.93863,0.00856,0.50073,0.01809,0.01436,0.85933,4.60969,0.85887,0.000159507,0.000159507,0.000159507
24,662.639,1.09979,4.50296,0.91101,0.00987,0.53935,0.02009,0.01667,0.87375,4.58229,0.86297,0.000158621,0.000158621,0.000158621
25,690.2,1.12903,4.41888,0.89294,0.01087,0.5653,0.01912,0.01559,0.88334,4.57966,0.86565,0.000157735,0.000157735,0.000157735
26,719.367,1.06877,4.42747,0.91313,0.01144,0.59364,0.0171,0.01362,0.87504,4.54713,0.86798,0.000156849,0.000156849,0.000156849
27,745.478,1.07129,4.23659,0.87843,0.01105,0.60273,0.01653,0.0133,0.84863,4.49809,0.86494,0.000155963,0.000155963,0.000155963
28,771.611,1.05956,4.19872,0.89038,0.01209,0.62343,0.01793,0.01436,0.83158,4.44358,0.86141,0.000155077,0.000155077,0.000155077
29,797.694,1.12126,4.27737,0.89469,0.01268,0.63052,0.02113,0.01708,0.84454,4.4215,0.86247,0.000154191,0.000154191,0.000154191
30,825.348,1.0738,4.21841,0.89108,0.01075,0.63075,0.02145,0.01713,0.8766,4.38939,0.86603,0.000153305,0.000153305,0.000153305
31,850.873,1.05237,4.23133,0.89345,0.01071,0.64777,0.02299,0.01901,0.8384,4.35398,0.86127,0.000152418,0.000152418,0.000152418
32,877.957,1.09256,4.16383,0.88936,0.01056,0.6564,0.0224,0.01799,0.83322,4.31963,0.85901,0.000151532,0.000151532,0.000151532
