epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1696,2.11266,5.81851,1.36541,0,0,0,0,1.37903,5.2643,1.00768,5.83696e-05,5.83696e-05,5.83696e-05
2,18.6119,1.43662,5.32867,1.00028,0.00057,0.00137,0.00032,0.00029,0.97164,4.9735,0.86395,0.000116868,0.000116868,0.000116868
3,26.8814,1.20121,4.96032,0.91942,0.00761,0.4147,0.01306,0.0094,0.91647,4.35935,0.85908,0.000174184,0.000174184,0.000174184
4,34.9058,1.11784,4.65503,0.90504,0.00932,0.67593,0.01736,0.01291,0.87361,4.00061,0.85888,0.000173684,0.000173684,0.000173684
5,43.3381,1.07061,4.39284,0.90335,0.01109,0.7802,0.02356,0.01802,0.83264,3.75116,0.85763,0.000171912,0.000171912,0.000171912
6,51.7665,1.05392,4.15825,0.90168,0.01165,0.84738,0.02707,0.02155,0.77406,3.59174,0.84884,0.000170139,0.000170139,0.000170139
7,60.1268,1.0029,3.93674,0.89296,0.06395,0.1189,0.0353,0.02772,0.73968,3.38652,0.84443,0.000168367,0.000168367,0.000168367
8,68.7009,0.95964,3.7701,0.89627,0.05584,0.09837,0.04219,0.03473,0.72678,3.22377,0.84321,0.000166595,0.000166595,0.000166595
9,77.2325,0.98098,3.607,0.88728,0.06162,0.14985,0.05533,0.04476,0.74403,3.13226,0.84577,0.000164823,0.000164823,0.000164823
10,85.974,0.97925,3.48854,0.88889,0.0397,0.14317,0.06508,0.0532,0.70701,3.00814,0.84024,0.000163051,0.000163051,0.000163051
11,94.7126,0.9501,3.35942,0.89015,0.05849,0.18316,0.07455,0.06154,0.70029,2.91852,0.83747,0.000161279,0.000161279,0.000161279
12,103.508,0.92427,3.29489,0.88013,0.0818,0.18846,0.09041,0.07546,0.71281,2.85368,0.83863,0.000159507,0.000159507,0.000159507
13,110.872,0.88578,3.21749,0.87997,0.12262,0.18187,0.10499,0.08838,0.70914,2.78385,0.83951,0.000157735,0.000157735,0.000157735
14,118.783,0.88789,3.11557,0.87831,0.12553,0.25344,0.12921,0.10801,0.69015,2.70857,0.83404,0.000155963,0.000155963,0.000155963
15,127.726,0.85985,3.02935,0.87353,0.14451,0.25679,0.15196,0.12889,0.67036,2.61233,0.83339,0.000154191,0.000154191,0.000154191
16,136.164,0.84764,2.96699,0.87089,0.19954,0.22329,0.16684,0.13918,0.66837,2.55972,0.8304,0.000152418,0.000152418,0.000152418
17,144.938,0.86404,2.88749,0.87317,0.13567,0.31627,0.18982,0.16044,0.65248,2.47485,0.83119,0.000150646,0.000150646,0.000150646
18,153.22,0.85233,2.82982,0.87587,0.17804,0.32545,0.21101,0.17913,0.6513,2.41149,0.82939,0.000148874,0.000148874,0.000148874
