epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0255,2.66308,5.84119,1.36704,0,0,0,0,1.8945,5.69331,1.05878,5.83696e-05,5.83696e-05,5.83696e-05
2,131.982,1.93828,5.51064,1.05082,0,0,0,0,1.3742,5.46937,0.91082,0.000115699,0.000115699,0.000115699
3,190.536,1.56233,5.22072,0.94096,0.00427,0.14708,0.00705,0.00533,1.20798,5.05494,0.87612,0.000170666,0.000170666,0.000170666
4,251.927,1.43797,4.98531,0.90799,0.00772,0.43132,0.01371,0.01006,1.15627,4.72496,0.86681,0.000168367,0.000168367,0.000168367
5,317.88,1.36534,4.73396,0.89767,0.00929,0.56534,0.01647,0.01229,1.07515,4.49168,0.85796,0.000164823,0.000164823,0.000164823
6,386.535,1.32994,4.47428,0.89762,0.01193,0.62989,0.02212,0.01618,1.06866,4.26971,0.85264,0.000161279,0.000161279,0.000161279
7,466.935,1.3437,4.26827,0.88872,0.01131,0.77024,0.02442,0.01777,0.945,4.02666,0.84152,0.000157735,0.000157735,0.000157735
8,540.115,1.28007,4.06259,0.89594,0.0115,0.80697,0.02881,0.02144,0.95182,3.85808,0.84023,0.000154191,0.000154191,0.000154191
9,597.047,1.26951,3.88045,0.88747,0.04461,0.30799,0.03437,0.0262,0.89927,3.68199,0.83872,0.000150646,0.000150646,0.000150646
10,653.997,1.26121,3.75711,0.88581,0.06582,0.1349,0.03745,0.02861,0.87645,3.54942,0.8354,0.000147102,0.000147102,0.000147102
11,714.168,1.17952,3.60367,0.88129,0.06519,0.1118,0.03991,0.02986,0.90406,3.44655,0.83699,0.000143558,0.000143558,0.000143558
12,771.516,1.18141,3.53815,0.87571,0.0477,0.12086,0.04418,0.0345,0.84299,3.37301,0.83105,0.000140014,0.000140014,0.000140014
13,828.206,1.15741,3.43543,0.87184,0.05743,0.16577,0.04885,0.03772,0.84688,3.28042,0.83019,0.00013647,0.00013647,0.00013647
14,884.98,1.14072,3.3676,0.86985,0.05836,0.1336,0.05409,0.04046,0.85703,3.2446,0.83057,0.000132925,0.000132925,0.000132925
15,941.75,1.15127,3.2977,0.87107,0.10184,0.14541,0.05846,0.04394,0.86468,3.19875,0.83321,0.000129381,0.000129381,0.000129381
16,998.418,1.10322,3.2363,0.86758,0.1031,0.15317,0.06588,0.05136,0.80663,3.11737,0.82534,0.000125837,0.000125837,0.000125837
17,1055.34,1.09792,3.18918,0.86633,0.05111,0.1657,0.07161,0.05603,0.83099,3.05234,0.82761,0.000122293,0.000122293,0.000122293
18,1112.2,1.05517,3.11673,0.86102,0.06159,0.15715,0.08027,0.06277,0.8292,3.02914,0.82606,0.000118749,0.000118749,0.000118749
19,1169.63,1.08333,3.0946,0.86046,0.10853,0.17147,0.0927,0.07253,0.80062,3.00243,0.82226,0.000115204,0.000115204,0.000115204
20,1226.81,1.06346,3.04028,0.86214,0.08863,0.18217,0.10211,0.08153,0.80041,2.93991,0.82366,0.00011166,0.00011166,0.00011166
21,1284.59,1.05421,3.0109,0.85665,0.08905,0.2213,0.10173,0.08199,0.76282,2.89873,0.81959,0.000108116,0.000108116,0.000108116
22,1341.82,1.03722,2.97427,0.85583,0.08759,0.18011,0.1092,0.08787,0.7796,2.88145,0.82084,0.000104572,0.000104572,0.000104572
23,1398.9,1.05035,2.94655,0.85486,0.13556,0.1956,0.11729,0.09423,0.78088,2.83048,0.82085,0.000101028,0.000101028,0.000101028
24,1455.21,1.0301,2.92189,0.85374,0.09098,0.21727,0.11808,0.09391,0.78023,2.81645,0.82216,9.74834e-05,9.74834e-05,9.74834e-05
25,1512.37,0.99638,2.88361,0.85148,0.07971,0.23821,0.11613,0.09218,0.77912,2.79155,0.82106,9.39392e-05,9.39392e-05,9.39392e-05
26,1569.3,1.01045,2.8696,0.85258,0.103,0.23,0.13035,0.10475,0.76586,2.76188,0.81945,9.0395e-05,9.0395e-05,9.0395e-05
27,1626.61,1.02763,2.84482,0.85883,0.11634,0.24404,0.13537,0.10967,0.75658,2.74571,0.8196,8.68508e-05,8.68508e-05,8.68508e-05
28,1683.43,1.00745,2.81138,0.85229,0.09098,0.26692,0.13919,0.11101,0.75947,2.70621,0.82109,8.33066e-05,8.33066e-05,8.33066e-05
29,1740.48,0.99819,2.7925,0.85275,0.12415,0.26607,0.15502,0.12423,0.77021,2.687,0.82033,7.97624e-05,7.97624e-05,7.97624e-05
30,1796.75,1.00981,2.80834,0.85905,0.18066,0.25789,0.15624,0.12578,0.77184,2.68011,0.82072,7.62182e-05,7.62182e-05,7.62182e-05
